Gaborone	Luanda
Denver	SaltLakeCity
Kazan	Moscow
Havana	Ottawa
KansasCity	Montreal
Chicago	Saskatoon
Edmonton	Winnipeg
Edmonton	Hermosillo
RiodeJaneiro	SantaCruz
KansasCity	Miami
BuenosAires	PuertoMontt
Houston	SantoDomingo
KansasCity	Seattle
Manaus	Recife
Adelaide	MountIsa
Havana	KansasCity
NewYork	Ottawa
Frankfurt	Rome
Monterrey	PanamaCity
PuertoMontt	Santiago
Berlin	Milan
Caracas	Lima
Caracas	Paramaribo
Calgary	Winnipeg
Harbin	Osaka
Nuuk	StJohns
KansasCity	OklahomaCity
Calgary	OklahomaCity
AdDammam	KuwaitCity
OklahomaCity	SanDiego
Athens	Rome
Amsterdam	Dublin
Guadalajara	Minneapolis
Saskatoon	Seattle
Berlin	Rome
Atlanta	Chicago
Ottawa	Winnipeg
NDjamena	Tripoli
Chicago	Guadalajara
Brasilia	Rosario
Kazan	Yekaterinburg
Antananarivo	Harare
Bogota	Santarem
SantaCruz	Santiago
Bamako	Libreville
Beijing	Seoul
Bergamo	Stockholm
Kabul	Muscat
GuatemalaCity	NewYork
Hermosillo	Seattle
Juba	Lusaka
Bogota	Cuiaba
MexicoCity	Toronto
PuertoMontt	Rosario
Dhaka	NewDelhi
Kampala	Khartoum
Baghdad	Moscow
Caracas	Cuiaba
Harare	Lusaka
Irkutsk	Saskylakh
Miami	Ottawa
Melbourne	Sydney
Kabul	NewDelhi
Denver	KansasCity
Montreal	Winnipeg
Cuiaba	PortoVelho
MexicoCity	PanamaCity
BuenosAires	Santiago
Abuja	Conakry
Winnipeg	Yellowknife
Ankara	Tbilisi
Chicago	KansasCity
Caracas	Santarem
Hermosillo	Winnipeg
Atlanta	Minneapolis
Libreville	NDjamena
Brasilia	Manaus
NovyyUrengoy	Yekaterinburg
MountIsa	Sydney
Chicago	PanamaCity
Chengdu	Dhaka
Bratsk	Chifeng
Recife	Santarem
AdDammam	Ashgabat
Beijing	Harbin
Milan	Paris
Bratsk	Ulaanbaatar
Guadalajara	Winnipeg
Frankfurt	London
Montreal	StJohns
Montreal	SantoDomingo
Seattle	Winnipeg
Melbourne	PortDouglas
SantoDomingo	Toronto
Bergamo	Tripoli
Adelaide	Melbourne
Manaus	SantaCruz
Guadalajara	Hermosillo
Atlanta	Miami
SaltLakeCity	Winnipeg
Edmonton	SanDiego
SanDiego	Winnipeg
Atlanta	Hermosillo
Darwin	Mackay
Hermosillo	Houston
Monterrey	SantoDomingo
Luanda	Yaounde
Juba	Khartoum
Chengdu	Mandalay
Guadalajara	OklahomaCity
Miami	NewYork
Atlanta	Ottawa
Beijing	Ulaanbaatar
Gaborone	Windhoek
Mandalay	Mumbai
Milan	Rome
Bogota	Manaus
London	Oslo
Damascus	Riyadh
Berlin	Frankfurt
MountIsa	PortDouglas
Edmonton	Vancouver
Caracas	Manaus
Bangkok	Dhaka
GuatemalaCity	Houston
Miami	SantoDomingo
Manaus	Santarem
Broome	MountIsa
Calgary	Chicago
Denver	Edmonton
Bergamo	Frankfurt
Calgary	SanFrancisco
Calgary	KansasCity
GuatemalaCity	SanDiego
Monterrey	SanFrancisco
Bratsk	Saskylakh
Athens	Bergamo
Calgary	Guadalajara
Madrid	Paris
Athens	Tripoli
Amsterdam	Paris
Darwin	MountIsa
Montreal	Toronto
Kampala	Yaounde
Guadalajara	GuatemalaCity
Broome	Jakarta
Hermosillo	LasVegas
Monterrey	Ottawa
Minneapolis	Yellowknife
Hermosillo	MexicoCity
Harbin	Yakutsk
Baghdad	Riyadh
Edmonton	SaltLakeCity
Mackay	Melbourne
Kathmandu	NewDelhi
Mandalay	NewDelhi
BuenosAires	Rosario
Havana	Montreal
Amsterdam	Warsaw
Denver	Monterrey
Mumbai	NewDelhi
AdDammam	Damascus
GuatemalaCity	SantoDomingo
Helsinki	Oslo
Shanghai	Tokyo
Manaus	RiodeJaneiro
Riyadh	Tbilisi
KansasCity	LasVegas
Toronto	Winnipeg
LabradorCity	NewYork
Chicago	MexicoCity
Athens	Damascus
KuwaitCity	Sanaa
LasVegas	Vancouver
Dublin	Reykjavik
Lusaka	Windhoek
Guadalajara	MexicoCity
Bratsk	Irkutsk
Seoul	Ulaanbaatar
Ankara	KuwaitCity
Denver	Minneapolis
SantaCruz	Santarem
Houston	Minneapolis
KansasCity	Winnipeg
Helsinki	Moscow
Houston	Miami
Beijing	Mirnyy
Dudinka	Salekhard
MexicoCity	Monterrey
Jakarta	Singapore
Helsinki	Stockholm
Bratsk	Tomsk
Chifeng	Seoul
Ashgabat	Kabul
Chengdu	Seoul
Broome	Darwin
Luanda	Windhoek
Bangkok	Mandalay
Timbuktu	Yaounde
Lima	PuertoMontt
Beijing	Shanghai
GuatemalaCity	SaltLakeCity
LabradorCity	Minneapolis
Paramaribo	Santarem
Ashgabat	Mumbai
Guadalajara	SanDiego
Denver	GuatemalaCity
LabradorCity	Winnipeg
Osaka	Seoul
